TorneoID,Tournament,Year,Series,Surface
Stockholm Open_2013,Stockholm Open,2013,ATP250,Hard
Erste Bank Open_2013,Erste Bank Open,2013,ATP250,Hard
Swiss Indoors_2013,Swiss Indoors,2013,ATP500,Hard
Valencia Open 500_2013,Valencia Open 500,2013,ATP500,Hard
BNP Paribas Masters_2013,BNP Paribas Masters,2013,MASTERS 1000,Hard
Brisbane International_2014,Brisbane International,2014,ATP250,Hard
Chennai Open_2014,Chennai Open,2014,ATP250,Hard
Qatar Exxon Mobil Open_2014,Qatar Exxon Mobil Open,2014,ATP250,Hard
Heineken Open_2014,Heineken Open,2014,ATP250,Hard
Apia International_2014,Apia International,2014,ATP250,Hard
Australian Open_2014,Australian Open,2014,GRAND SLAM,Hard
Open Sud de France_2014,Open Sud de France,2014,ATP250,Hard
Royal Guard Open Chile _2014,Royal Guard Open Chile ,2014,ATP250,Clay
PBZ Zagreb Indoors_2014,PBZ Zagreb Indoors,2014,ATP250,Hard
Copa Claro_2014,Copa Claro,2014,ATP250,Clay
U.S. National Indoor Tennis Championships_2014,U.S. National Indoor Tennis Championships,2014,ATP250,Hard
ABN AMRO World Tennis Tournament_2014,ABN AMRO World Tennis Tournament,2014,ATP500,Hard
Delray Beach Open_2014,Delray Beach Open,2014,ATP250,Hard
Open 13_2014,Open 13,2014,ATP250,Hard
Rio Open_2014,Rio Open,2014,ATP500,Clay
Abierto Mexicano_2014,Abierto Mexicano,2014,ATP500,Hard
Dubai Tennis Championships_2014,Dubai Tennis Championships,2014,ATP500,Hard
Brasil Open_2014,Brasil Open,2014,ATP250,Clay
BNP Paribas Open_2014,BNP Paribas Open,2014,MASTERS 1000,Hard
Sony Ericsson Open_2014,Sony Ericsson Open,2014,MASTERS 1000,Hard
Grand Prix Hassan II_2014,Grand Prix Hassan II,2014,ATP250,Clay
U.S. Men's Clay Court Championships_2014,U.S. Men's Clay Court Championships,2014,ATP250,Clay
Monte Carlo Masters_2014,Monte Carlo Masters,2014,MASTERS 1000,Clay
Open Banco Sabadell _2014,Open Banco Sabadell ,2014,ATP500,Clay
BRD Nastase Tiriac Trophy_2014,BRD Nastase Tiriac Trophy,2014,ATP250,Clay
BMW Open_2014,BMW Open,2014,ATP250,Clay
Portugal Open_2014,Portugal Open,2014,ATP250,Clay
Mutua Madrid Open_2014,Mutua Madrid Open,2014,MASTERS 1000,Clay
Internazionali BNL d'Italia_2014,Internazionali BNL d'Italia,2014,MASTERS 1000,Clay
Dusseldorf Open_2014,Dusseldorf Open,2014,ATP250,Clay
Open de Nice Côte dAzur_2014,Open de Nice Côte dAzur,2014,ATP250,Clay
French Open_2014,French Open,2014,GRAND SLAM,Clay
Gerry Weber Open_2014,Gerry Weber Open,2014,ATP250,Grass
AEGON Championships_2014,AEGON Championships,2014,ATP250,Grass
AEGON International_2014,AEGON International,2014,ATP250,Grass
Topshelf Open_2014,Topshelf Open,2014,ATP250,Grass
Wimbledon_2014,Wimbledon,2014,GRAND SLAM,Grass
SkiStar Swedish Open_2014,SkiStar Swedish Open,2014,ATP250,Clay
Hall of Fame Championships_2014,Hall of Fame Championships,2014,ATP250,Grass
Mercedes Cup_2014,Mercedes Cup,2014,ATP250,Clay
Claro Open Colombia_2014,Claro Open Colombia,2014,ATP250,Clay
bet-at-home Open_2014,bet-at-home Open,2014,ATP500,Clay
BB&T Atlanta Open_2014,BB&T Atlanta Open,2014,ATP250,Hard
Crédit Agricole Suisse Open Gstaad_2014,Crédit Agricole Suisse Open Gstaad,2014,ATP250,Clay
ATP Vegeta Croatia Open_2014,ATP Vegeta Croatia Open,2014,ATP250,Clay
Bet-At-Home Cup_2014,Bet-At-Home Cup,2014,ATP250,Clay
Citi Open_2014,Citi Open,2014,ATP500,Hard
Rogers Masters_2014,Rogers Masters,2014,MASTERS 1000,Hard
Western & Southern Financial Group Masters_2014,Western & Southern Financial Group Masters,2014,MASTERS 1000,Hard
Winston-Salem Open at Wake Forest University_2014,Winston-Salem Open at Wake Forest University,2014,ATP250,Hard
US Open_2014,US Open,2014,GRAND SLAM,Hard
Open de Moselle_2014,Open de Moselle,2014,ATP250,Hard
Malaysian Open_2014,Malaysian Open,2014,ATP250,Hard
Shenzhen Open_2014,Shenzhen Open,2014,ATP250,Hard
China Open_2014,China Open,2014,ATP500,Hard
Rakuten Japan Open Tennis Championships_2014,Rakuten Japan Open Tennis Championships,2014,ATP500,Hard
Shanghai Masters_2014,Shanghai Masters,2014,MASTERS 1000,Hard
Kremlin Cup_2014,Kremlin Cup,2014,ATP250,Hard
Stockholm Open_2014,Stockholm Open,2014,ATP250,Hard
Erste Bank Open_2014,Erste Bank Open,2014,ATP250,Hard
Swiss Indoors_2014,Swiss Indoors,2014,ATP500,Hard
Valencia Open 500_2014,Valencia Open 500,2014,ATP500,Hard
BNP Paribas Masters_2014,BNP Paribas Masters,2014,MASTERS 1000,Hard
Brisbane International_2015,Brisbane International,2015,ATP250,Hard
Chennai Open_2015,Chennai Open,2015,ATP250,Hard
Qatar Exxon Mobil Open_2015,Qatar Exxon Mobil Open,2015,ATP250,Hard
Heineken Open_2015,Heineken Open,2015,ATP250,Hard
Apia International_2015,Apia International,2015,ATP250,Hard
Australian Open_2015,Australian Open,2015,GRAND SLAM,Hard
Open Sud de France_2015,Open Sud de France,2015,ATP250,Hard
Ecuador Open_2015,Ecuador Open,2015,ATP250,Clay
PBZ Zagreb Indoors_2015,PBZ Zagreb Indoors,2015,ATP250,Hard
Memphis Open_2015,Memphis Open,2015,ATP250,Hard
ABN AMRO World Tennis Tournament_2015,ABN AMRO World Tennis Tournament,2015,ATP500,Hard
Brasil Open_2015,Brasil Open,2015,ATP250,Clay
Delray Beach Open_2015,Delray Beach Open,2015,ATP250,Hard
Open 13_2015,Open 13,2015,ATP250,Hard
Rio Open_2015,Rio Open,2015,ATP500,Clay
Abierto Mexicano_2015,Abierto Mexicano,2015,ATP500,Hard
Argentina Open_2015,Argentina Open,2015,ATP250,Clay
Dubai Tennis Championships_2015,Dubai Tennis Championships,2015,ATP500,Hard
BNP Paribas Open_2015,BNP Paribas Open,2015,MASTERS 1000,Hard
Sony Ericsson Open_2015,Sony Ericsson Open,2015,MASTERS 1000,Hard
Grand Prix Hassan II_2015,Grand Prix Hassan II,2015,ATP250,Clay
U.S. Men's Clay Court Championships_2015,U.S. Men's Clay Court Championships,2015,ATP250,Clay
Monte Carlo Masters_2015,Monte Carlo Masters,2015,MASTERS 1000,Clay
Open Banco Sabadell _2015,Open Banco Sabadell ,2015,ATP500,Clay
BRD Nastase Tiriac Trophy_2015,BRD Nastase Tiriac Trophy,2015,ATP250,Clay
Millenium Estoril Open_2015,Millenium Estoril Open,2015,ATP250,Clay
Istanbul Open_2015,Istanbul Open,2015,ATP250,Clay
BMW Open_2015,BMW Open,2015,ATP250,Clay
Mutua Madrid Open_2015,Mutua Madrid Open,2015,MASTERS 1000,Clay
Internazionali BNL d'Italia_2015,Internazionali BNL d'Italia,2015,MASTERS 1000,Clay
Geneva Open_2015,Geneva Open,2015,ATP250,Clay
Open de Nice Côte dAzur_2015,Open de Nice Côte dAzur,2015,ATP250,Clay
French Open_2015,French Open,2015,GRAND SLAM,Clay
Topshelf Open_2015,Topshelf Open,2015,ATP250,Grass
Mercedes Cup_2015,Mercedes Cup,2015,ATP250,Grass
Gerry Weber Open_2015,Gerry Weber Open,2015,ATP500,Grass
AEGON Championships_2015,AEGON Championships,2015,ATP500,Grass
AEGON Open_2015,AEGON Open,2015,ATP500,Grass
Wimbledon_2015,Wimbledon,2015,GRAND SLAM,Grass
Hall of Fame Championships_2015,Hall of Fame Championships,2015,ATP250,Grass
SkiStar Swedish Open_2015,SkiStar Swedish Open,2015,ATP250,Clay
Claro Open Colombia_2015,Claro Open Colombia,2015,ATP250,Clay
Konzum Croatia Open_2015,Konzum Croatia Open,2015,ATP250,Clay
BB&T Atlanta Open_2015,BB&T Atlanta Open,2015,ATP250,Hard
Suisse Open Gstaad_2015,Suisse Open Gstaad,2015,ATP250,Clay
bet-at-home Open_2015,bet-at-home Open,2015,ATP500,Clay
Generali Open_2015,Generali Open,2015,ATP250,Clay
Citi Open_2015,Citi Open,2015,ATP500,Hard
Rogers Masters_2015,Rogers Masters,2015,MASTERS 1000,Hard
Western & Southern Financial Group Masters_2015,Western & Southern Financial Group Masters,2015,MASTERS 1000,Hard
Winston-Salem Open at Wake Forest University_2015,Winston-Salem Open at Wake Forest University,2015,ATP250,Hard
US Open_2015,US Open,2015,GRAND SLAM,Hard
Open de Moselle_2015,Open de Moselle,2015,ATP250,Hard
St. Petersburg Open_2015,St. Petersburg Open,2015,ATP250,Hard
Malaysian Open_2015,Malaysian Open,2015,ATP250,Hard
Shenzhen Open_2015,Shenzhen Open,2015,ATP250,Hard
China Open_2015,China Open,2015,ATP500,Hard
Rakuten Japan Open Tennis Championships_2015,Rakuten Japan Open Tennis Championships,2015,ATP500,Hard
Shanghai Masters_2015,Shanghai Masters,2015,MASTERS 1000,Hard
Kremlin Cup_2015,Kremlin Cup,2015,ATP250,Hard
Stockholm Open_2015,Stockholm Open,2015,ATP250,Hard
Erste Bank Open_2015,Erste Bank Open,2015,ATP250,Hard
Swiss Indoors_2015,Swiss Indoors,2015,ATP500,Hard
Valencia Open 500_2015,Valencia Open 500,2015,ATP500,Hard
BNP Paribas Masters_2015,BNP Paribas Masters,2015,MASTERS 1000,Hard
Brisbane International_2016,Brisbane International,2016,ATP250,Hard
Chennai Open_2016,Chennai Open,2016,ATP250,Hard
Qatar Exxon Mobil Open_2016,Qatar Exxon Mobil Open,2016,ATP250,Hard
ASB Classic_2016,ASB Classic,2016,ATP250,Hard
Apia International_2016,Apia International,2016,ATP250,Hard
Australian Open_2016,Australian Open,2016,GRAND SLAM,Hard
Open Sud de France_2016,Open Sud de France,2016,ATP250,Hard
Ecuador Open_2016,Ecuador Open,2016,ATP250,Clay
Garanti Koza Sofia Open_2016,Garanti Koza Sofia Open,2016,ATP250,Hard
Argentina Open_2016,Argentina Open,2016,ATP250,Clay
Memphis Open_2016,Memphis Open,2016,ATP250,Hard
ABN AMRO World Tennis Tournament_2016,ABN AMRO World Tennis Tournament,2016,ATP500,Hard
Delray Beach Open_2016,Delray Beach Open,2016,ATP250,Hard
Open 13_2016,Open 13,2016,ATP250,Hard
Rio Open_2016,Rio Open,2016,ATP500,Clay
Abierto Mexicano_2016,Abierto Mexicano,2016,ATP500,Hard
Dubai Tennis Championships_2016,Dubai Tennis Championships,2016,ATP500,Hard
Brasil Open_2016,Brasil Open,2016,ATP250,Clay
BNP Paribas Open_2016,BNP Paribas Open,2016,MASTERS 1000,Hard
Sony Ericsson Open_2016,Sony Ericsson Open,2016,MASTERS 1000,Hard
U.S. Men's Clay Court Championships_2016,U.S. Men's Clay Court Championships,2016,ATP250,Clay
Grand Prix Hassan II_2016,Grand Prix Hassan II,2016,ATP250,Clay
Monte Carlo Masters_2016,Monte Carlo Masters,2016,MASTERS 1000,Clay
Open Banco Sabadell _2016,Open Banco Sabadell ,2016,ATP500,Clay
BRD Nastase Tiriac Trophy_2016,BRD Nastase Tiriac Trophy,2016,ATP250,Clay
Millenium Estoril Open_2016,Millenium Estoril Open,2016,ATP250,Clay
Istanbul Open_2016,Istanbul Open,2016,ATP250,Clay
BMW Open_2016,BMW Open,2016,ATP250,Clay
Mutua Madrid Open_2016,Mutua Madrid Open,2016,MASTERS 1000,Clay
Internazionali BNL d'Italia_2016,Internazionali BNL d'Italia,2016,MASTERS 1000,Clay
Geneva Open_2016,Geneva Open,2016,ATP250,Clay
Open de Nice Côte dAzur_2016,Open de Nice Côte dAzur,2016,ATP250,Clay
French Open_2016,French Open,2016,GRAND SLAM,Clay
Topshelf Open_2016,Topshelf Open,2016,ATP250,Grass
Mercedes Cup_2016,Mercedes Cup,2016,ATP250,Grass
Gerry Weber Open_2016,Gerry Weber Open,2016,ATP500,Grass
AEGON Championships_2016,AEGON Championships,2016,ATP500,Grass
AEGON Open_2016,AEGON Open,2016,ATP500,Grass
Wimbledon_2016,Wimbledon,2016,GRAND SLAM,Grass
SkiStar Swedish Open_2016,SkiStar Swedish Open,2016,ATP250,Clay
German Tennis Championships_2016,German Tennis Championships,2016,ATP500,Clay
Hall of Fame Championships_2016,Hall of Fame Championships,2016,ATP250,Grass
Suisse Open Gstaad_2016,Suisse Open Gstaad,2016,ATP250,Clay
Generali Open_2016,Generali Open,2016,ATP250,Clay
Konzum Croatia Open_2016,Konzum Croatia Open,2016,ATP250,Clay
Citi Open_2016,Citi Open,2016,ATP500,Hard
Rogers Masters_2016,Rogers Masters,2016,MASTERS 1000,Hard
BB&T Atlanta Open_2016,BB&T Atlanta Open,2016,ATP250,Hard
Abierto Mexicano Mifel_2016,Abierto Mexicano Mifel,2016,ATP250,Hard
Western & Southern Financial Group Masters_2016,Western & Southern Financial Group Masters,2016,MASTERS 1000,Hard
Winston-Salem Open at Wake Forest University_2016,Winston-Salem Open at Wake Forest University,2016,ATP250,Hard
US Open_2016,US Open,2016,GRAND SLAM,Hard
Open de Moselle_2016,Open de Moselle,2016,ATP250,Hard
St. Petersburg Open_2016,St. Petersburg Open,2016,ATP250,Hard
