TorneoID,Tournament,Year,Series,Surface
Valencia Open 501_2009,Valencia Open 501,2009,ATP500,Hard
Valencia Open 502_2009,Valencia Open 502,2009,ATP500,Hard
Valencia Open 503_2009,Valencia Open 503,2009,ATP500,Hard
Valencia Open 504_2009,Valencia Open 504,2009,ATP500,Hard
Valencia Open 505_2009,Valencia Open 505,2009,ATP500,Hard
Valencia Open 506_2009,Valencia Open 506,2009,ATP500,Hard
Valencia Open 507_2009,Valencia Open 507,2009,ATP500,Hard
Valencia Open 508_2009,Valencia Open 508,2009,ATP500,Hard
Valencia Open 509_2009,Valencia Open 509,2009,ATP500,Hard
Valencia Open 510_2009,Valencia Open 510,2009,ATP500,Hard
Valencia Open 511_2009,Valencia Open 511,2009,ATP500,Hard
Valencia Open 512_2009,Valencia Open 512,2009,ATP500,Hard
Valencia Open 513_2009,Valencia Open 513,2009,ATP500,Hard
Valencia Open 514_2009,Valencia Open 514,2009,ATP500,Hard
Valencia Open 515_2009,Valencia Open 515,2009,ATP500,Hard
Valencia Open 516_2009,Valencia Open 516,2009,ATP500,Hard
Valencia Open 517_2009,Valencia Open 517,2009,ATP500,Hard
Valencia Open 518_2009,Valencia Open 518,2009,ATP500,Hard
Valencia Open 519_2009,Valencia Open 519,2009,ATP500,Hard
Valencia Open 520_2009,Valencia Open 520,2009,ATP500,Hard
Valencia Open 521_2009,Valencia Open 521,2009,ATP500,Hard
Valencia Open 522_2009,Valencia Open 522,2009,ATP500,Hard
Valencia Open 523_2009,Valencia Open 523,2009,ATP500,Hard
Valencia Open 524_2009,Valencia Open 524,2009,ATP500,Hard
Valencia Open 525_2009,Valencia Open 525,2009,ATP500,Hard
Valencia Open 526_2009,Valencia Open 526,2009,ATP500,Hard
Valencia Open 527_2009,Valencia Open 527,2009,ATP500,Hard
Valencia Open 528_2009,Valencia Open 528,2009,ATP500,Hard
Valencia Open 529_2009,Valencia Open 529,2009,ATP500,Hard
Valencia Open 530_2009,Valencia Open 530,2009,ATP500,Hard
BNP Paribas Masters_2009,BNP Paribas Masters,2009,MASTERS 1000,Hard
Brisbane International_2010,Brisbane International,2010,ATP250,Hard
Chennai Open_2010,Chennai Open,2010,ATP250,Hard
Qatar Exxon Mobil Open_2010,Qatar Exxon Mobil Open,2010,ATP250,Hard
Heineken Open_2010,Heineken Open,2010,ATP250,Hard
Medibank International_2010,Medibank International,2010,ATP250,Hard
Australian Open_2010,Australian Open,2010,GRAND SLAM,Hard
SA Tennis Open_2010,SA Tennis Open,2010,ATP250,Hard
Movistar Open_2010,Movistar Open,2010,ATP250,Clay
PBZ Zagreb Indoors_2010,PBZ Zagreb Indoors,2010,ATP250,Hard
Brasil Open_2010,Brasil Open,2010,ATP250,Clay
ABN AMRO World Tennis Tournament_2010,ABN AMRO World Tennis Tournament,2010,ATP500,Hard
SAP Open_2010,SAP Open,2010,ATP250,Hard
Copa Telmex_2010,Copa Telmex,2010,ATP250,Clay
Open 13_2010,Open 13,2010,ATP250,Hard
Regions Morgan Keegan Championships_2010,Regions Morgan Keegan Championships,2010,ATP500,Hard
Abierto Mexicano_2010,Abierto Mexicano,2010,ATP500,Clay
International Championships_2010,International Championships,2010,ATP250,Hard
Dubai Tennis Championships_2010,Dubai Tennis Championships,2010,ATP500,Hard
BNP Paribas Open_2010,BNP Paribas Open,2010,MASTERS 1000,Hard
Sony Ericsson Open_2010,Sony Ericsson Open,2010,MASTERS 1000,Hard
Grand Prix Hassan II_2010,Grand Prix Hassan II,2010,ATP250,Clay
U.S. Men's Clay Court Championships_2010,U.S. Men's Clay Court Championships,2010,ATP250,Clay
Monte Carlo Masters_2010,Monte Carlo Masters,2010,MASTERS 1000,Clay
Open Banco Sabadell _2010,Open Banco Sabadell ,2010,ATP500,Clay
Internazionali BNL d'Italia_2010,Internazionali BNL d'Italia,2010,MASTERS 1000,Clay
Serbia Open_2010,Serbia Open,2010,ATP250,Clay
Estoril Open_2010,Estoril Open,2010,ATP250,Clay
BMW Open_2010,BMW Open,2010,ATP250,Clay
Mutua Madrileña Madrid Open_2010,Mutua Madrileña Madrid Open,2010,MASTERS 1000,Clay
Open de Nice Côte dAzur_2010,Open de Nice Côte dAzur,2010,ATP250,Clay
French Open_2010,French Open,2010,GRAND SLAM,Clay
Gerry Weber Open_2010,Gerry Weber Open,2010,ATP250,Grass
AEGON Championships_2010,AEGON Championships,2010,ATP250,Grass
AEGON International_2010,AEGON International,2010,ATP250,Grass
Unicef Open_2010,Unicef Open,2010,ATP250,Grass
Wimbledon_2010,Wimbledon,2010,GRAND SLAM,Grass
Hall of Fame Championships_2010,Hall of Fame Championships,2010,ATP250,Grass
SkiStar Swedish Open_2010,SkiStar Swedish Open,2010,ATP250,Clay
Mercedes Cup_2010,Mercedes Cup,2010,ATP250,Clay
Atlanta Tennis Championships_2010,Atlanta Tennis Championships,2010,ATP250,Hard
German Open Tennis Championships _2010,German Open Tennis Championships ,2010,ATP500,Clay
Allianz Suisse Open_2010,Allianz Suisse Open,2010,ATP250,Clay
Farmers Classic_2010,Farmers Classic,2010,ATP250,Hard
Studena Croatia Open_2010,Studena Croatia Open,2010,ATP250,Clay
Legg Mason Classic_2010,Legg Mason Classic,2010,ATP500,Hard
Western & Southern Financial Group Masters_2010,Western & Southern Financial Group Masters,2010,MASTERS 1000,Hard
Pilot Pen Tennis_2010,Pilot Pen Tennis,2010,ATP250,Hard
US Open_2010,US Open,2010,GRAND SLAM,Hard
Open Romania_2010,Open Romania,2010,ATP250,Clay
Open de Moselle_2010,Open de Moselle,2010,ATP250,Hard
Thailand Open_2010,Thailand Open,2010,ATP250,Hard
Proton Malaysian Open_2010,Proton Malaysian Open,2010,ATP250,Hard
China Open_2010,China Open,2010,ATP500,Hard
Rakuten Japan Open Tennis Championships_2010,Rakuten Japan Open Tennis Championships,2010,ATP500,Hard
Shanghai Masters_2010,Shanghai Masters,2010,MASTERS 1000,Hard
Kremlin Cup_2010,Kremlin Cup,2010,ATP250,Hard
Stockholm Open_2010,Stockholm Open,2010,ATP250,Hard
Open Sud de France_2010,Open Sud de France,2010,ATP250,Hard
St. Petersburg Open_2010,St. Petersburg Open,2010,ATP250,Hard
BA-CA Tennis Trophy_2010,BA-CA Tennis Trophy,2010,ATP250,Hard
Swiss Indoors_2010,Swiss Indoors,2010,ATP500,Hard
Valencia Open 500_2010,Valencia Open 500,2010,ATP500,Hard
Valencia Open 501_2010,Valencia Open 501,2010,ATP500,Hard
Valencia Open 502_2010,Valencia Open 502,2010,ATP500,Hard
Valencia Open 503_2010,Valencia Open 503,2010,ATP500,Hard
Valencia Open 504_2010,Valencia Open 504,2010,ATP500,Hard
Valencia Open 505_2010,Valencia Open 505,2010,ATP500,Hard
Valencia Open 506_2010,Valencia Open 506,2010,ATP500,Hard
Valencia Open 507_2010,Valencia Open 507,2010,ATP500,Hard
Valencia Open 508_2010,Valencia Open 508,2010,ATP500,Hard
Valencia Open 509_2010,Valencia Open 509,2010,ATP500,Hard
Valencia Open 510_2010,Valencia Open 510,2010,ATP500,Hard
Valencia Open 511_2010,Valencia Open 511,2010,ATP500,Hard
Valencia Open 512_2010,Valencia Open 512,2010,ATP500,Hard
Valencia Open 513_2010,Valencia Open 513,2010,ATP500,Hard
Valencia Open 514_2010,Valencia Open 514,2010,ATP500,Hard
Valencia Open 515_2010,Valencia Open 515,2010,ATP500,Hard
Valencia Open 516_2010,Valencia Open 516,2010,ATP500,Hard
Valencia Open 517_2010,Valencia Open 517,2010,ATP500,Hard
Valencia Open 518_2010,Valencia Open 518,2010,ATP500,Hard
Valencia Open 519_2010,Valencia Open 519,2010,ATP500,Hard
Valencia Open 520_2010,Valencia Open 520,2010,ATP500,Hard
Valencia Open 521_2010,Valencia Open 521,2010,ATP500,Hard
Valencia Open 522_2010,Valencia Open 522,2010,ATP500,Hard
Valencia Open 523_2010,Valencia Open 523,2010,ATP500,Hard
Valencia Open 524_2010,Valencia Open 524,2010,ATP500,Hard
Valencia Open 525_2010,Valencia Open 525,2010,ATP500,Hard
Valencia Open 526_2010,Valencia Open 526,2010,ATP500,Hard
Valencia Open 527_2010,Valencia Open 527,2010,ATP500,Hard
Valencia Open 528_2010,Valencia Open 528,2010,ATP500,Hard
Valencia Open 529_2010,Valencia Open 529,2010,ATP500,Hard
Valencia Open 530_2010,Valencia Open 530,2010,ATP500,Hard
BNP Paribas Masters_2010,BNP Paribas Masters,2010,MASTERS 1000,Hard
Brisbane International_2011,Brisbane International,2011,ATP250,Hard
Chennai Open_2011,Chennai Open,2011,ATP250,Hard
Qatar Exxon Mobil Open_2011,Qatar Exxon Mobil Open,2011,ATP250,Hard
Heineken Open_2011,Heineken Open,2011,ATP250,Hard
Medibank International_2011,Medibank International,2011,ATP250,Hard
Australian Open_2011,Australian Open,2011,GRAND SLAM,Hard
SA Tennis Open_2011,SA Tennis Open,2011,ATP250,Hard
Movistar Open_2011,Movistar Open,2011,ATP250,Clay
PBZ Zagreb Indoors_2011,PBZ Zagreb Indoors,2011,ATP250,Hard
Brasil Open_2011,Brasil Open,2011,ATP250,Clay
ABN AMRO World Tennis Tournament_2011,ABN AMRO World Tennis Tournament,2011,ATP500,Hard
SAP Open_2011,SAP Open,2011,ATP250,Hard
Copa Claro_2011,Copa Claro,2011,ATP250,Clay
Open 13_2011,Open 13,2011,ATP250,Hard
Regions Morgan Keegan Championships_2011,Regions Morgan Keegan Championships,2011,ATP500,Hard
Abierto Mexicano_2011,Abierto Mexicano,2011,ATP500,Clay
International Championships_2011,International Championships,2011,ATP250,Hard
Dubai Tennis Championships_2011,Dubai Tennis Championships,2011,ATP500,Hard
BNP Paribas Open_2011,BNP Paribas Open,2011,MASTERS 1000,Hard
Sony Ericsson Open_2011,Sony Ericsson Open,2011,MASTERS 1000,Hard
Grand Prix Hassan II_2011,Grand Prix Hassan II,2011,ATP250,Clay
U.S. Men's Clay Court Championships_2011,U.S. Men's Clay Court Championships,2011,ATP250,Clay
Monte Carlo Masters_2011,Monte Carlo Masters,2011,MASTERS 1000,Clay
Open Banco Sabadell _2011,Open Banco Sabadell ,2011,ATP500,Clay
Serbia Open_2011,Serbia Open,2011,ATP250,Clay
Estoril Open_2011,Estoril Open,2011,ATP250,Clay
BMW Open_2011,BMW Open,2011,ATP250,Clay
Mutua Madrileña Madrid Open_2011,Mutua Madrileña Madrid Open,2011,MASTERS 1000,Clay
Internazionali BNL d'Italia_2011,Internazionali BNL d'Italia,2011,MASTERS 1000,Clay
Open de Nice Côte dAzur_2011,Open de Nice Côte dAzur,2011,ATP250,Clay
French Open_2011,French Open,2011,GRAND SLAM,Clay
Gerry Weber Open_2011,Gerry Weber Open,2011,ATP250,Grass
AEGON Championships_2011,AEGON Championships,2011,ATP250,Grass
AEGON International_2011,AEGON International,2011,ATP250,Grass
Unicef Open_2011,Unicef Open,2011,ATP250,Grass
Wimbledon_2011,Wimbledon,2011,GRAND SLAM,Grass
Hall of Fame Championships_2011,Hall of Fame Championships,2011,ATP250,Grass
SkiStar Swedish Open_2011,SkiStar Swedish Open,2011,ATP250,Clay
Mercedes Cup_2011,Mercedes Cup,2011,ATP250,Clay
Atlanta Tennis Championships_2011,Atlanta Tennis Championships,2011,ATP250,Hard
German Open Tennis Championships _2011,German Open Tennis Championships ,2011,ATP500,Clay
Allianz Suisse Open_2011,Allianz Suisse Open,2011,ATP250,Clay
Farmers Classic_2011,Farmers Classic,2011,ATP250,Hard
Studena Croatia Open_2011,Studena Croatia Open,2011,ATP250,Clay
Bet-At-Home Cup_2011,Bet-At-Home Cup,2011,ATP250,Clay
Legg Mason Classic_2011,Legg Mason Classic,2011,ATP500,Hard
Rogers Masters_2011,Rogers Masters,2011,MASTERS 1000,Hard
Western & Southern Financial Group Masters_2011,Western & Southern Financial Group Masters,2011,MASTERS 1000,Hard
Winston-Salem Open at Wake Forest University_2011,Winston-Salem Open at Wake Forest University,2011,ATP250,Hard
US Open_2011,US Open,2011,GRAND SLAM,Hard
Open Romania_2011,Open Romania,2011,ATP250,Clay
Open de Moselle_2011,Open de Moselle,2011,ATP250,Hard
Thailand Open_2011,Thailand Open,2011,ATP250,Hard
Malaysian Open_2011,Malaysian Open,2011,ATP250,Hard
China Open_2011,China Open,2011,ATP500,Hard
Rakuten Japan Open Tennis Championships_2011,Rakuten Japan Open Tennis Championships,2011,ATP500,Hard
Shanghai Masters_2011,Shanghai Masters,2011,MASTERS 1000,Hard
Kremlin Cup_2011,Kremlin Cup,2011,ATP250,Hard
Stockholm Open_2011,Stockholm Open,2011,ATP250,Hard
St. Petersburg Open_2011,St. Petersburg Open,2011,ATP250,Hard
Erste Bank Open_2011,Erste Bank Open,2011,ATP250,Hard
Swiss Indoors_2011,Swiss Indoors,2011,ATP500,Hard
Valencia Open 500_2011,Valencia Open 500,2011,ATP500,Hard
BNP Paribas Masters_2011,BNP Paribas Masters,2011,MASTERS 1000,Hard
Brisbane International_2012,Brisbane International,2012,ATP250,Hard
Chennai Open_2012,Chennai Open,2012,ATP250,Hard
Qatar Exxon Mobil Open_2012,Qatar Exxon Mobil Open,2012,ATP250,Hard
Heineken Open_2012,Heineken Open,2012,ATP250,Hard
Apia International_2012,Apia International,2012,ATP250,Hard
Australian Open_2012,Australian Open,2012,GRAND SLAM,Hard
Open Sud de France_2012,Open Sud de France,2012,ATP250,Hard
VTR Open _2012,VTR Open ,2012,ATP250,Clay
PBZ Zagreb Indoors_2012,PBZ Zagreb Indoors,2012,ATP250,Hard
ABN AMRO World Tennis Tournament_2012,ABN AMRO World Tennis Tournament,2012,ATP500,Hard
SAP Open_2012,SAP Open,2012,ATP250,Hard
Brasil Open_2012,Brasil Open,2012,ATP250,Clay
Copa Claro_2012,Copa Claro,2012,ATP250,Clay
Open 13_2012,Open 13,2012,ATP250,Hard
Regions Morgan Keegan Championships_2012,Regions Morgan Keegan Championships,2012,ATP500,Hard
Abierto Mexicano_2012,Abierto Mexicano,2012,ATP500,Clay
International Championships_2012,International Championships,2012,ATP250,Hard
Dubai Tennis Championships_2012,Dubai Tennis Championships,2012,ATP500,Hard
BNP Paribas Open_2012,BNP Paribas Open,2012,MASTERS 1000,Hard
Sony Ericsson Open_2012,Sony Ericsson Open,2012,MASTERS 1000,Hard
Grand Prix Hassan II_2012,Grand Prix Hassan II,2012,ATP250,Clay
U.S. Men's Clay Court Championships_2012,U.S. Men's Clay Court Championships,2012,ATP250,Clay
Monte Carlo Masters_2012,Monte Carlo Masters,2012,MASTERS 1000,Clay
Open Banco Sabadell _2012,Open Banco Sabadell ,2012,ATP500,Clay
BRD Nastase Tiriac Trophy_2012,BRD Nastase Tiriac Trophy,2012,ATP250,Clay
Serbia Open_2012,Serbia Open,2012,ATP250,Clay
Estoril Open_2012,Estoril Open,2012,ATP250,Clay
BMW Open_2012,BMW Open,2012,ATP250,Clay
Mutua Madrid Open_2012,Mutua Madrid Open,2012,MASTERS 1000,Clay
Internazionali BNL d'Italia_2012,Internazionali BNL d'Italia,2012,MASTERS 1000,Clay
Open de Nice Côte dAzur_2012,Open de Nice Côte dAzur,2012,ATP250,Clay
French Open_2012,French Open,2012,GRAND SLAM,Clay
Gerry Weber Open_2012,Gerry Weber Open,2012,ATP250,Grass
AEGON Championships_2012,AEGON Championships,2012,ATP250,Grass
AEGON International_2012,AEGON International,2012,ATP250,Grass
Unicef Open_2012,Unicef Open,2012,ATP250,Grass
Wimbledon_2012,Wimbledon,2012,GRAND SLAM,Grass
SkiStar Swedish Open_2012,SkiStar Swedish Open,2012,ATP250,Clay
Hall of Fame Championships_2012,Hall of Fame Championships,2012,ATP250,Grass
Mercedes Cup_2012,Mercedes Cup,2012,ATP250,Clay
ATP Vegeta Croatia Open_2012,ATP Vegeta Croatia Open,2012,ATP250,Clay
BB&T Atlanta Open_2012,BB&T Atlanta Open,2012,ATP250,Hard
Crédit Agricole Suisse Open Gstaad_2012,Crédit Agricole Suisse Open Gstaad,2012,ATP250,Clay
German Open Tennis Championships _2012,German Open Tennis Championships ,2012,ATP500,Clay
Bet-At-Home Cup_2012,Bet-At-Home Cup,2012,ATP250,Clay
Farmers Classic_2012,Farmers Classic,2012,ATP250,Hard
Citi Open_2012,Citi Open,2012,ATP500,Hard
Western & Southern Financial Group Masters_2012,Western & Southern Financial Group Masters,2012,MASTERS 1000,Hard
Winston-Salem Open at Wake Forest University_2012,Winston-Salem Open at Wake Forest University,2012,ATP250,Hard
US Open_2012,US Open,2012,GRAND SLAM,Hard
Open de Moselle_2012,Open de Moselle,2012,ATP250,Hard
St. Petersburg Open_2012,St. Petersburg Open,2012,ATP250,Hard
Thailand Open_2012,Thailand Open,2012,ATP250,Hard
Malaysian Open_2012,Malaysian Open,2012,ATP250,Hard
China Open_2012,China Open,2012,ATP500,Hard
Rakuten Japan Open Tennis Championships_2012,Rakuten Japan Open Tennis Championships,2012,ATP500,Hard
Shanghai Masters_2012,Shanghai Masters,2012,MASTERS 1000,Hard
Kremlin Cup_2012,Kremlin Cup,2012,ATP250,Hard
Stockholm Open_2012,Stockholm Open,2012,ATP250,Hard
Erste Bank Open_2012,Erste Bank Open,2012,ATP250,Hard
Swiss Indoors_2012,Swiss Indoors,2012,ATP500,Hard
Valencia Open 500_2012,Valencia Open 500,2012,ATP500,Hard
BNP Paribas Masters_2012,BNP Paribas Masters,2012,MASTERS 1000,Hard
Brisbane International_2013,Brisbane International,2013,ATP250,Hard
Chennai Open_2013,Chennai Open,2013,ATP250,Hard
Qatar Exxon Mobil Open_2013,Qatar Exxon Mobil Open,2013,ATP250,Hard
Heineken Open_2013,Heineken Open,2013,ATP250,Hard
Apia International_2013,Apia International,2013,ATP250,Hard
Australian Open_2013,Australian Open,2013,GRAND SLAM,Hard
Open Sud de France_2013,Open Sud de France,2013,ATP250,Hard
VTR Open _2013,VTR Open ,2013,ATP250,Clay
PBZ Zagreb Indoors_2013,PBZ Zagreb Indoors,2013,ATP250,Hard
ABN AMRO World Tennis Tournament_2013,ABN AMRO World Tennis Tournament,2013,ATP500,Hard
