Finalista,Series,Tournament,Year,WRank,Surface,LRank,Tournament_Year
Tursunov D.,ATP250,AEGON International,2009,27,Grass,0,AEGON International_2009
Becker B.,ATP250,Ordina Open,2009,82,Grass,0,Ordina Open_2009
Federer R.,Grand Slam,Wimbledon,2009,2,Grass,0,Wimbledon_2009
Querrey S.,ATP250,Hall of Fame Championships,2009,39,Grass,0,Hall of Fame Championships_2009
Soderling R.,ATP250,Catella Swedish Open,2009,12,Clay,0,Catella Swedish Open_2009
Chardy J.,ATP250,Mercedes Cup,2009,43,Clay,0,Mercedes Cup_2009
Davydenko N.,ATP500,International German Open,2009,12,Clay,0,International German Open_2009
Ginepri R.,ATP250,Indianapolis Tennis Championships,2009,95,Hard,0,Indianapolis Tennis Championships_2009
Bellucci T.,ATP250,Allianz Suisse Open,2009,119,Clay,0,Allianz Suisse Open_2009
Querrey S.,ATP250,LA Tennis Open,2009,32,Hard,0,LA Tennis Open_2009
Davydenko N.,ATP250,Studena Croatia Open,2009,9,Clay,0,Studena Croatia Open_2009
Del Potro J.M.,ATP500,Legg Mason Classic,2009,6,Hard,0,Legg Mason Classic_2009
Murray A.,Masters 1000,Rogers Masters,2009,3,Hard,0,Rogers Masters_2009
Federer R.,Masters 1000,Western & Southern Financial Group Masters,2009,1,Hard,0,Western & Southern Financial Group Masters_2009
Verdasco F.,ATP250,Pilot Pen Tennis,2009,10,Hard,0,Pilot Pen Tennis_2009
Del Potro J.M.,Grand Slam,US Open,2009,6,Hard,0,US Open_2009
Montanes A.,ATP250,Open Romania,2009,53,Clay,0,Open Romania_2009
Monfils G.,ATP250,Open de Moselle,2009,13,Hard,0,Open de Moselle_2009
Simon G.,ATP250,Thailand Open,2009,10,Hard,0,Thailand Open_2009
Davydenko N.,ATP250,Proton Malaysian Open,2009,8,Hard,0,Proton Malaysian Open_2009
Djokovic N.,ATP500,China Open,2009,4,Hard,0,China Open_2009
Tsonga J.W.,ATP500,Rakuten Japan Open Tennis Championships,2009,7,Hard,0,Rakuten Japan Open Tennis Championships_2009
