Finalista,Series,Tournament,Year,WRank,Surface,LRank,Tournament_Year
Nadal R.,Masters 1000,BNP Paribas Open,2013,5,Hard,0,BNP Paribas Open_2013
Murray A.,Masters 1000,Sony Ericsson Open,2013,3,Hard,0,Sony Ericsson Open_2013
Robredo T.,ATP250,Grand Prix Hassan II,2013,72,Clay,0,Grand Prix Hassan II_2013
Isner J.,ATP250,U.S. Men's Clay Court Championships,2013,23,Clay,0,U.S. Men's Clay Court Championships_2013
Djokovic N.,Masters 1000,Monte Carlo Masters,2013,1,Clay,0,Monte Carlo Masters_2013
Nadal R.,ATP500,Open Banco Sabadell ,2013,5,Clay,0,Open Banco Sabadell _2013
Rosol L.,ATP250,BRD Nastase Tiriac Trophy,2013,48,Clay,0,BRD Nastase Tiriac Trophy_2013
Haas T.,ATP250,BMW Open,2013,14,Clay,0,BMW Open_2013
Wawrinka S.,ATP250,Portugal Open,2013,16,Clay,0,Portugal Open_2013
Nadal R.,Masters 1000,Mutua Madrid Open,2013,5,Clay,0,Mutua Madrid Open_2013
Nadal R.,Masters 1000,Internazionali BNL d'Italia,2013,5,Clay,0,Internazionali BNL d'Italia_2013
Monaco J.,ATP250,Power Horse Cup,2013,19,Clay,0,Power Horse Cup_2013
Montanes A.,ATP250,Open de Nice Côte dAzur,2013,82,Clay,0,Open de Nice Côte dAzur_2013
Nadal R.,Grand Slam,French Open,2013,4,Clay,0,French Open_2013
Federer R.,ATP250,Gerry Weber Open,2013,3,Grass,0,Gerry Weber Open_2013
Murray A.,ATP250,AEGON Championships,2013,2,Grass,0,AEGON Championships_2013
Lopez F.,ATP250,AEGON International,2013,39,Grass,0,AEGON International_2013
Mahut N.,ATP250,Topshelf Open,2013,240,Grass,0,Topshelf Open_2013
Murray A.,Grand Slam,Wimbledon,2013,2,Grass,0,Wimbledon_2013
Berlocq C.,ATP250,SkiStar Swedish Open,2013,74,Clay,0,SkiStar Swedish Open_2013
Mahut N.,ATP250,Hall of Fame Championships,2013,127,Grass,0,Hall of Fame Championships_2013
Fognini F.,ATP250,Mercedes Cup,2013,31,Clay,0,Mercedes Cup_2013
Karlovic I.,ATP250,Claro Open Colombia,2013,155,Clay,0,Claro Open Colombia_2013
Fognini F.,ATP500,German Open Tennis Championships ,2013,25,Clay,0,German Open Tennis Championships _2013
Isner J.,ATP250,BB&T Atlanta Open,2013,22,Hard,0,BB&T Atlanta Open_2013
Youzhny M.,ATP250,Crédit Agricole Suisse Open Gstaad,2013,33,Clay,0,Crédit Agricole Suisse Open Gstaad_2013
Robredo T.,ATP250,ATP Vegeta Croatia Open,2013,28,Clay,0,ATP Vegeta Croatia Open_2013
Granollers M.,ATP250,Bet-At-Home Cup,2013,53,Clay,0,Bet-At-Home Cup_2013
Del Potro J.M.,ATP500,Citi Open,2013,7,Hard,0,Citi Open_2013
Nadal R.,Masters 1000,Rogers Masters,2013,4,Hard,0,Rogers Masters_2013
Nadal R.,Masters 1000,Western & Southern Financial Group Masters,2013,3,Hard,0,Western & Southern Financial Group Masters_2013
Melzer J.,ATP250,Winston-Salem Open at Wake Forest University,2013,32,Hard,0,Winston-Salem Open at Wake Forest University_2013
Nadal R.,Grand Slam,US Open,2013,2,Hard,0,US Open_2013
Simon G.,ATP250,Open de Moselle,2013,16,Hard,0,Open de Moselle_2013
Gulbis E.,ATP250,St. Petersburg Open,2013,36,Hard,0,St. Petersburg Open_2013
Raonic M.,ATP250,Thailand Open,2013,11,Hard,0,Thailand Open_2013
Sousa J.,ATP250,Malaysian Open,2013,77,Hard,0,Malaysian Open_2013
Djokovic N.,ATP500,China Open,2012,1,Hard,0,China Open_2012
Del Potro J.M.,ATP500,Rakuten Japan Open Tennis Championships,2012,7,Hard,0,Rakuten Japan Open Tennis Championships_2012
Djokovic N.,Masters 1000,Shanghai Masters,2013,2,Hard,0,Shanghai Masters_2013
Gasquet R.,ATP250,Kremlin Cup,2013,10,Hard,0,Kremlin Cup_2013
Dimitrov G.,ATP250,Stockholm Open,2013,28,Hard,0,Stockholm Open_2013
Haas T.,ATP250,Erste Bank Open,2013,12,Hard,0,Erste Bank Open_2013
Del Potro J.M.,ATP500,Swiss Indoors,2013,5,Hard,0,Swiss Indoors_2013
Youzhny M.,ATP500,Valencia Open 500,2013,21,Hard,0,Valencia Open 500_2013
Djokovic N.,Masters 1000,BNP Paribas Masters,2013,2,Hard,0,BNP Paribas Masters_2013
Hewitt L.,ATP250,Brisbane International,2014,60,Hard,0,Brisbane International_2014
Wawrinka S.,ATP250,Chennai Open,2014,8,Hard,0,Chennai Open_2014
Nadal R.,ATP250,Qatar Exxon Mobil Open,2014,1,Hard,0,Qatar Exxon Mobil Open_2014
Isner J.,ATP250,Heineken Open,2014,14,Hard,0,Heineken Open_2014
Del Potro J.M.,ATP250,Apia International,2014,5,Hard,0,Apia International_2014
Wawrinka S.,Grand Slam,Australian Open,2014,8,Hard,0,Australian Open_2014
Monfils G.,ATP250,Open Sud de France,2014,30,Hard,0,Open Sud de France_2014
Fognini F.,ATP250,Royal Guard Open Chile ,2014,15,Clay,0,Royal Guard Open Chile _2014
Cilic M.,ATP250,PBZ Zagreb Indoors,2014,37,Hard,0,PBZ Zagreb Indoors_2014
Ferrer D.,ATP250,Copa Claro,2014,5,Clay,0,Copa Claro_2014
Nishikori K.,ATP250,U.S. National Indoor Tennis Championships,2014,16,Hard,0,U.S. National Indoor Tennis Championships_2014
Berdych T.,ATP500,ABN AMRO World Tennis Tournament,2014,7,Hard,0,ABN AMRO World Tennis Tournament_2014
Cilic M.,ATP250,Delray Beach Open,2014,29,Hard,0,Delray Beach Open_2014
Gulbis E.,ATP250,Open 13,2014,23,Hard,0,Open 13_2014
Nadal R.,ATP500,Rio Open,2014,1,Clay,0,Rio Open_2014
Dimitrov G.,ATP500,Abierto Mexicano,2014,22,Hard,0,Abierto Mexicano_2014
Federer R.,ATP500,Dubai Tennis Championships,2014,8,Hard,0,Dubai Tennis Championships_2014
Delbonis F.,ATP250,Brasil Open,2014,61,Clay,0,Brasil Open_2014
Djokovic N.,Masters 1000,BNP Paribas Open,2014,2,Hard,0,BNP Paribas Open_2014
Djokovic N.,Masters 1000,Sony Ericsson Open,2014,2,Hard,0,Sony Ericsson Open_2014
Garcia-Lopez G.,ATP250,Grand Prix Hassan II,2014,53,Clay,0,Grand Prix Hassan II_2014
Verdasco F.,ATP250,U.S. Men's Clay Court Championships,2014,29,Clay,0,U.S. Men's Clay Court Championships_2014
Wawrinka S.,Masters 1000,Monte Carlo Masters,2014,3,Clay,0,Monte Carlo Masters_2014
Nishikori K.,ATP500,Open Banco Sabadell ,2014,17,Clay,0,Open Banco Sabadell _2014
Dimitrov G.,ATP250,BRD Nastase Tiriac Trophy,2014,16,Clay,0,BRD Nastase Tiriac Trophy_2014
Klizan M.,ATP250,BMW Open,2014,111,Clay,0,BMW Open_2014
Berlocq C.,ATP250,Portugal Open,2014,62,Clay,0,Portugal Open_2014
Nadal R.,Masters 1000,Mutua Madrid Open,2014,1,Clay,0,Mutua Madrid Open_2014
Djokovic N.,Masters 1000,Internazionali BNL d'Italia,2014,2,Clay,0,Internazionali BNL d'Italia_2014
Kohlschreiber P.,ATP250,Dusseldorf Open,2014,29,Clay,0,Dusseldorf Open_2014
Gulbis E.,ATP250,Open de Nice Côte dAzur,2014,19,Clay,0,Open de Nice Côte dAzur_2014
Nadal R.,Grand Slam,French Open,2014,1,Clay,0,French Open_2014
Federer R.,ATP250,Gerry Weber Open,2014,4,Grass,0,Gerry Weber Open_2014
Dimitrov G.,ATP250,AEGON Championships,2014,13,Grass,0,AEGON Championships_2014
Lopez F.,ATP250,AEGON International,2014,25,Grass,0,AEGON International_2014
Bautista R.,ATP250,Topshelf Open,2014,28,Grass,0,Topshelf Open_2014
Djokovic N.,Grand Slam,Wimbledon,2014,2,Grass,0,Wimbledon_2014
Cuevas P.,ATP250,SkiStar Swedish Open,2014,111,Clay,0,SkiStar Swedish Open_2014
Hewitt L.,ATP250,Hall of Fame Championships,2014,43,Grass,0,Hall of Fame Championships_2014
Bautista R.,ATP250,Mercedes Cup,2014,23,Clay,0,Mercedes Cup_2014
Tomic B.,ATP250,Claro Open Colombia,2014,124,Clay,0,Claro Open Colombia_2014
Mayer L.,ATP500,bet-at-home Open,2014,46,Clay,0,bet-at-home Open_2014
Isner J.,ATP250,BB&T Atlanta Open,2014,12,Hard,0,BB&T Atlanta Open_2014
Andujar P.,ATP250,Crédit Agricole Suisse Open Gstaad,2014,71,Clay,0,Crédit Agricole Suisse Open Gstaad_2014
Cuevas P.,ATP250,ATP Vegeta Croatia Open,2014,60,Clay,0,ATP Vegeta Croatia Open_2014
Goffin D.,ATP250,Bet-At-Home Cup,2014,78,Clay,0,Bet-At-Home Cup_2014
Raonic M.,ATP500,Citi Open,2014,7,Hard,0,Citi Open_2014
Tsonga J.W.,Masters 1000,Rogers Masters,2014,15,Hard,0,Rogers Masters_2014
Federer R.,Masters 1000,Western & Southern Financial Group Masters,2014,3,Hard,0,Western & Southern Financial Group Masters_2014
Rosol L.,ATP250,Winston-Salem Open at Wake Forest University,2014,33,Hard,0,Winston-Salem Open at Wake Forest University_2014
Cilic M.,Grand Slam,US Open,2014,16,Hard,0,US Open_2014
Goffin D.,ATP250,Open de Moselle,2014,45,Hard,0,Open de Moselle_2014
Nishikori K.,ATP250,Malaysian Open,2014,8,Hard,0,Malaysian Open_2014
Murray A.,ATP250,Shenzhen Open,2014,11,Hard,0,Shenzhen Open_2014
Djokovic N.,ATP500,China Open,2014,1,Hard,0,China Open_2014
Nishikori K.,ATP500,Rakuten Japan Open Tennis Championships,2014,7,Hard,0,Rakuten Japan Open Tennis Championships_2014
Federer R.,Masters 1000,Shanghai Masters,2014,3,Hard,0,Shanghai Masters_2014
Cilic M.,ATP250,Kremlin Cup,2014,8,Hard,0,Kremlin Cup_2014
Berdych T.,ATP250,Stockholm Open,2014,7,Hard,0,Stockholm Open_2014
Murray A.,ATP250,Erste Bank Open,2014,11,Hard,0,Erste Bank Open_2014
Federer R.,ATP500,Swiss Indoors,2014,2,Hard,0,Swiss Indoors_2014
Murray A.,ATP500,Valencia Open 500,2014,10,Hard,0,Valencia Open 500_2014
Djokovic N.,Masters 1000,BNP Paribas Masters,2014,1,Hard,0,BNP Paribas Masters_2014
Federer R.,ATP250,Brisbane International,2015,2,Hard,0,Brisbane International_2015
Wawrinka S.,ATP250,Chennai Open,2015,4,Hard,0,Chennai Open_2015
Ferrer D.,ATP250,Qatar Exxon Mobil Open,2015,10,Hard,0,Qatar Exxon Mobil Open_2015
Vesely J.,ATP250,Heineken Open,2015,65,Hard,0,Heineken Open_2015
Troicki V.,ATP250,Apia International,2015,94,Hard,0,Apia International_2015
Djokovic N.,Grand Slam,Australian Open,2015,1,Hard,0,Australian Open_2015
Gasquet R.,ATP250,Open Sud de France,2015,28,Hard,0,Open Sud de France_2015
Estrella Burgos V.,ATP250,Ecuador Open,2015,76,Clay,0,Ecuador Open_2015
Garcia-Lopez G.,ATP250,PBZ Zagreb Indoors,2015,33,Hard,0,PBZ Zagreb Indoors_2015
Nishikori K.,ATP250,Memphis Open,2015,5,Hard,0,Memphis Open_2015
Wawrinka S.,ATP500,ABN AMRO World Tennis Tournament,2015,8,Hard,0,ABN AMRO World Tennis Tournament_2015
Cuevas P.,ATP250,Brasil Open,2015,32,Clay,0,Brasil Open_2015
Karlovic I.,ATP250,Delray Beach Open,2015,29,Hard,0,Delray Beach Open_2015
Simon G.,ATP250,Open 13,2015,17,Hard,0,Open 13_2015
Ferrer D.,ATP500,Rio Open,2015,9,Clay,0,Rio Open_2015
Ferrer D.,ATP500,Abierto Mexicano,2015,9,Hard,0,Abierto Mexicano_2015
Nadal R.,ATP250,Argentina Open,2015,4,Clay,0,Argentina Open_2015
Federer R.,ATP500,Dubai Tennis Championships,2015,2,Hard,0,Dubai Tennis Championships_2015
Djokovic N.,Masters 1000,BNP Paribas Open,2015,1,Hard,0,BNP Paribas Open_2015
Djokovic N.,Masters 1000,Sony Ericsson Open,2015,1,Hard,0,Sony Ericsson Open_2015
Klizan M.,ATP250,Grand Prix Hassan II,2015,41,Clay,0,Grand Prix Hassan II_2015
Sock J.,ATP250,U.S. Men's Clay Court Championships,2015,46,Clay,0,U.S. Men's Clay Court Championships_2015
Djokovic N.,Masters 1000,Monte Carlo Masters,2015,1,Clay,0,Monte Carlo Masters_2015
Nishikori K.,ATP500,Open Banco Sabadell ,2015,5,Clay,0,Open Banco Sabadell _2015
Garcia-Lopez G.,ATP250,BRD Nastase Tiriac Trophy,2015,45,Clay,0,BRD Nastase Tiriac Trophy_2015
Gasquet R.,ATP250,Millenium Estoril Open,2015,28,Clay,0,Millenium Estoril Open_2015
Federer R.,ATP250,Istanbul Open,2015,2,Clay,0,Istanbul Open_2015
Murray A.,ATP250,BMW Open,2015,3,Clay,0,BMW Open_2015
Murray A.,Masters 1000,Mutua Madrid Open,2015,3,Clay,0,Mutua Madrid Open_2015
Djokovic N.,Masters 1000,Internazionali BNL d'Italia,2015,1,Clay,0,Internazionali BNL d'Italia_2015
Bellucci T.,ATP250,Geneva Open,2015,60,Clay,0,Geneva Open_2015
Thiem D.,ATP250,Open de Nice Côte dAzur,2015,42,Clay,0,Open de Nice Côte dAzur_2015
Wawrinka S.,Grand Slam,French Open,2015,9,Clay,0,French Open_2015
Mahut N.,ATP250,Topshelf Open,2015,97,Grass,0,Topshelf Open_2015
Nadal R.,ATP250,Mercedes Cup,2015,10,Grass,0,Mercedes Cup_2015
Federer R.,ATP500,Gerry Weber Open,2015,2,Grass,0,Gerry Weber Open_2015
Murray A.,ATP500,AEGON Championships,2015,3,Grass,0,AEGON Championships_2015
Istomin D.,ATP500,AEGON Open,2015,92,Grass,0,AEGON Open_2015
Djokovic N.,Grand Slam,Wimbledon,2015,1,Grass,0,Wimbledon_2015
Ram R.,ATP250,Hall of Fame Championships,2015,161,Grass,0,Hall of Fame Championships_2015
Paire B.,ATP250,SkiStar Swedish Open,2015,62,Clay,0,SkiStar Swedish Open_2015
Tomic B.,ATP250,Claro Open Colombia,2015,29,Clay,0,Claro Open Colombia_2015
Thiem D.,ATP250,Konzum Croatia Open,2015,26,Clay,0,Konzum Croatia Open_2015
Isner J.,ATP250,BB&T Atlanta Open,2015,19,Hard,0,BB&T Atlanta Open_2015
Thiem D.,ATP250,Suisse Open Gstaad,2015,24,Clay,0,Suisse Open Gstaad_2015
Nadal R.,ATP500,bet-at-home Open,2015,10,Clay,0,bet-at-home Open_2015
Kohlschreiber P.,ATP250,Generali Open,2015,39,Clay,0,Generali Open_2015
Nishikori K.,ATP500,Citi Open,2015,5,Hard,0,Citi Open_2015
Murray A.,Masters 1000,Rogers Masters,2015,3,Hard,0,Rogers Masters_2015
Federer R.,Masters 1000,Western & Southern Financial Group Masters,2015,3,Hard,0,Western & Southern Financial Group Masters_2015
Anderson K.,ATP250,Winston-Salem Open at Wake Forest University,2015,15,Hard,0,Winston-Salem Open at Wake Forest University_2015
Djokovic N.,Grand Slam,US Open,2015,1,Hard,0,US Open_2015
Tsonga J.W.,ATP250,Open de Moselle,2015,17,Hard,0,Open de Moselle_2015
Raonic M.,ATP250,St. Petersburg Open,2015,9,Hard,0,St. Petersburg Open_2015
Ferrer D.,ATP250,Malaysian Open,2015,8,Hard,0,Malaysian Open_2015
Berdych T.,ATP250,Shenzhen Open,2015,5,Hard,0,Shenzhen Open_2015
Djokovic N.,ATP500,China Open,2015,1,Hard,0,China Open_2015
Wawrinka S.,ATP500,Rakuten Japan Open Tennis Championships,2015,4,Hard,0,Rakuten Japan Open Tennis Championships_2015
Djokovic N.,Masters 1000,Shanghai Masters,2015,1,Hard,0,Shanghai Masters_2015
Cilic M.,ATP250,Kremlin Cup,2015,14,Hard,0,Kremlin Cup_2015
Berdych T.,ATP250,Stockholm Open,2015,5,Hard,0,Stockholm Open_2015
Ferrer D.,ATP250,Erste Bank Open,2015,8,Hard,0,Erste Bank Open_2015
Federer R.,ATP500,Swiss Indoors,2015,3,Hard,0,Swiss Indoors_2015
Sousa J.,ATP500,Valencia Open 500,2015,46,Hard,0,Valencia Open 500_2015
Djokovic N.,Masters 1000,BNP Paribas Masters,2015,1,Hard,0,BNP Paribas Masters_2015
Raonic M.,ATP250,Brisbane International,2016,14,Hard,0,Brisbane International_2016
Wawrinka S.,ATP250,Chennai Open,2016,4,Hard,0,Chennai Open_2016
Djokovic N.,ATP250,Qatar Exxon Mobil Open,2016,1,Hard,0,Qatar Exxon Mobil Open_2016
Bautista R.,ATP250,ASB Classic,2016,25,Hard,0,ASB Classic_2016
Troicki V.,ATP250,Apia International,2016,22,Hard,0,Apia International_2016
Djokovic N.,Grand Slam,Australian Open,2016,1,Hard,0,Australian Open_2016
Gasquet R.,ATP250,Open Sud de France,2016,10,Hard,0,Open Sud de France_2016
Estrella Burgos V.,ATP250,Ecuador Open,2016,35,Clay,0,Ecuador Open_2016
Bautista R.,ATP250,Garanti Koza Sofia Open,2016,18,Hard,0,Garanti Koza Sofia Open_2016
Thiem D.,ATP250,Argentina Open,2016,19,Clay,0,Argentina Open_2016
Nishikori K.,ATP250,Memphis Open,2016,7,Hard,0,Memphis Open_2016
Klizan M.,ATP500,ABN AMRO World Tennis Tournament,2016,43,Hard,0,ABN AMRO World Tennis Tournament_2016
Querrey S.,ATP250,Delray Beach Open,2016,61,Hard,0,Delray Beach Open_2016
Kyrgios N.,ATP250,Open 13,2016,41,Hard,0,Open 13_2016
Cuevas P.,ATP500,Rio Open,2016,45,Clay,0,Rio Open_2016
Thiem D.,ATP500,Abierto Mexicano,2016,15,Hard,0,Abierto Mexicano_2016
Wawrinka S.,ATP500,Dubai Tennis Championships,2016,4,Hard,0,Dubai Tennis Championships_2016
Cuevas P.,ATP250,Brasil Open,2016,27,Clay,0,Brasil Open_2016
Djokovic N.,Masters 1000,BNP Paribas Open,2016,1,Hard,0,BNP Paribas Open_2016
Djokovic N.,Masters 1000,Sony Ericsson Open,2016,1,Hard,0,Sony Ericsson Open_2016
Monaco J.,ATP250,U.S. Men's Clay Court Championships,2016,148,Clay,0,U.S. Men's Clay Court Championships_2016
Delbonis F.,ATP250,Grand Prix Hassan II,2016,47,Clay,0,Grand Prix Hassan II_2016
Nadal R.,Masters 1000,Monte Carlo Masters,2016,5,Clay,0,Monte Carlo Masters_2016
Nadal R.,ATP500,Open Banco Sabadell ,2016,5,Clay,0,Open Banco Sabadell _2016
Verdasco F.,ATP250,BRD Nastase Tiriac Trophy,2016,86,Clay,0,BRD Nastase Tiriac Trophy_2016
Almagro N.,ATP250,Millenium Estoril Open,2016,71,Clay,0,Millenium Estoril Open_2016
Schwartzman D.,ATP250,Istanbul Open,2016,87,Clay,0,Istanbul Open_2016
Kohlschreiber P.,ATP250,BMW Open,2016,27,Clay,0,BMW Open_2016
Djokovic N.,Masters 1000,Mutua Madrid Open,2016,1,Clay,0,Mutua Madrid Open_2016
Murray A.,Masters 1000,Internazionali BNL d'Italia,2016,3,Clay,0,Internazionali BNL d'Italia_2016
Wawrinka S.,ATP250,Geneva Open,2016,4,Clay,0,Geneva Open_2016
Thiem D.,ATP250,Open de Nice Côte dAzur,2016,15,Clay,0,Open de Nice Côte dAzur_2016
Djokovic N.,Grand Slam,French Open,2016,1,Clay,0,French Open_2016
Thiem D.,ATP250,Topshelf Open,2016,7,Grass,0,Topshelf Open_2016
Mahut N.,ATP250,Mercedes Cup,2016,49,Grass,0,Mercedes Cup_2016
Mayer F.,ATP500,Gerry Weber Open,2016,192,Grass,0,Gerry Weber Open_2016
Murray A.,ATP500,AEGON Championships,2016,2,Grass,0,AEGON Championships_2016
Johnson S.,ATP500,AEGON Open,2016,38,Grass,0,AEGON Open_2016
Murray A.,Grand Slam,Wimbledon,2016,2,Grass,0,Wimbledon_2016
Ramos-Vinolas A.,ATP250,SkiStar Swedish Open,2016,35,Clay,0,SkiStar Swedish Open_2016
Klizan M.,ATP500,German Tennis Championships,2016,47,Clay,0,German Tennis Championships_2016
Karlovic I.,ATP250,Hall of Fame Championships,2016,38,Grass,0,Hall of Fame Championships_2016
Lopez F.,ATP250,Suisse Open Gstaad,2016,21,Clay,0,Suisse Open Gstaad_2016
Lorenzi P.,ATP250,Generali Open,2016,48,Clay,0,Generali Open_2016
Fognini F.,ATP250,Konzum Croatia Open,2016,39,Clay,0,Konzum Croatia Open_2016
Monfils G.,ATP500,Citi Open,2016,17,Hard,0,Citi Open_2016
Djokovic N.,Masters 1000,Rogers Masters,2016,1,Hard,0,Rogers Masters_2016
Kyrgios N.,ATP250,BB&T Atlanta Open,2016,18,Hard,0,BB&T Atlanta Open_2016
Karlovic I.,ATP250,Abierto Mexicano Mifel,2016,24,Hard,0,Abierto Mexicano Mifel_2016
Cilic M.,Masters 1000,Western & Southern Financial Group Masters,2016,14,Hard,0,Western & Southern Financial Group Masters_2016
Carreno Busta P.,ATP250,Winston-Salem Open at Wake Forest University,2016,49,Hard,0,Winston-Salem Open at Wake Forest University_2016
Wawrinka S.,Grand Slam,US Open,2016,3,Hard,0,US Open_2016
Pouille L.,ATP250,Open de Moselle,2016,18,Hard,0,Open de Moselle_2016
Zverev A.,ATP250,St. Petersburg Open,2016,27,Hard,0,St. Petersburg Open_2016
Kafelnikov Y.,Grand Slam,Australian Open,2000,0,Hard,2,Australian Open_2000
Norman M.,Grand Slam,French Open,2000,0,Clay,3,French Open_2000
Rafter P.,Grand Slam,Wimbledon,2000,0,Grass,21,Wimbledon_2000
Sampras P.,Grand Slam,US Open,2000,0,Hard,4,US Open_2000
Clement A.,Grand Slam,Australian Open,2001,0,Hard,18,Australian Open_2001
Corretja A.,Grand Slam,French Open,2001,0,Clay,13,French Open_2001
Rafter P.,Grand Slam,Wimbledon,2001,0,Grass,10,Wimbledon_2001
Sampras P.,Grand Slam,US Open,2001,0,Hard,10,US Open_2001
Safin M.,Grand Slam,Australian Open,2002,0,Hard,11,Australian Open_2002
Ferrero J.C.,Grand Slam,French Open,2002,0,Clay,11,French Open_2002
Nalbandian D.,Grand Slam,Wimbledon,2002,0,Grass,32,Wimbledon_2002
Agassi A.,Grand Slam,US Open,2002,0,Hard,6,US Open_2002
Schuettler R.,Grand Slam,Australian Open,2003,0,Hard,36,Australian Open_2003
Verkerk M.,Grand Slam,French Open,2003,0,Clay,46,French Open_2003
Philippoussis M.,Grand Slam,Wimbledon,2003,0,Grass,48,Wimbledon_2003
Ferrero J.C.,Grand Slam,US Open,2003,0,Hard,3,US Open_2003
Safin M.,Grand Slam,Australian Open,2004,0,Hard,86,Australian Open_2004
Coria G.,Grand Slam,French Open,2004,0,Clay,3,French Open_2004
Roddick A.,Grand Slam,Wimbledon,2004,0,Grass,2,Wimbledon_2004
Hewitt L.,Grand Slam,US Open,2004,0,Hard,5,US Open_2004
Hewitt L.,Grand Slam,Australian Open,2005,0,Hard,3,Australian Open_2005
Puerta M.,Grand Slam,French Open,2005,0,Clay,37,French Open_2005
Roddick A.,Grand Slam,Wimbledon,2005,0,Grass,4,Wimbledon_2005
Agassi A.,Grand Slam,US Open,2005,0,Hard,7,US Open_2005
Baghdatis M.,Grand Slam,Australian Open,2006,0,Hard,54,Australian Open_2006
Federer R.,Grand Slam,French Open,2006,0,Clay,1,French Open_2006
Nadal R.,Grand Slam,Wimbledon,2006,0,Grass,2,Wimbledon_2006
Roddick A.,Grand Slam,US Open,2006,0,Hard,10,US Open_2006
Gonzalez F.,Grand Slam,Australian Open,2007,0,Hard,9,Australian Open_2007
Federer R.,Grand Slam,French Open,2007,0,Clay,1,French Open_2007
Nadal R.,Grand Slam,Wimbledon,2007,0,Grass,2,Wimbledon_2007
Djokovic N.,Grand Slam,US Open,2007,0,Hard,3,US Open_2007
Tsonga J.W.,Grand Slam,Australian Open,2008,0,Hard,38,Australian Open_2008
Federer R.,Grand Slam,French Open,2008,0,Clay,1,French Open_2008
Federer R.,Grand Slam,Wimbledon,2008,0,Grass,1,Wimbledon_2008
Murray A.,Grand Slam,US Open,2008,0,Hard,6,US Open_2008
Querrey S.,ATP250,Heineken Open,2009,0,Hard,36,Heineken Open_2009
Nieminen J.,ATP250,Medibank International,2009,0,Hard,40,Medibank International_2009
Federer R.,Grand Slam,Australian Open,2009,0,Hard,2,Australian Open_2009
Chardy J.,ATP250,SA Tennis Open,2009,0,Hard,61,SA Tennis Open_2009
Acasuso J.,ATP250,Movistar Open,2009,0,Clay,46,Movistar Open_2009
Ancic M.,ATP250,PBZ Zagreb Indoors,2009,0,Hard,29,PBZ Zagreb Indoors_2009
Bellucci T.,ATP250,Brasil Open,2009,0,Clay,84,Brasil Open_2009
Nadal R.,ATP500,ABN AMRO World Tennis Tournament,2009,0,Hard,1,ABN AMRO World Tennis Tournament_2009
Fish M.,ATP250,SAP Open,2009,0,Hard,24,SAP Open_2009
Monaco J.,ATP250,Copa Telmex,2009,0,Clay,67,Copa Telmex_2009
Llodra M.,ATP250,Open 13,2009,0,Hard,50,Open 13_2009
Stepanek R.,ATP250,Regions Morgan Keegan Championships,2009,0,Hard,19,Regions Morgan Keegan Championships_2009
Monfils G.,ATP500,Abierto Mexicano,2009,0,Clay,10,Abierto Mexicano_2009
Korolev E.,ATP250,International Championships,2009,0,Hard,105,International Championships_2009
Ferrer D.,ATP500,Dubai Tennis Championships,2009,0,Hard,14,Dubai Tennis Championships_2009
Murray A.,Masters 1000,BNP Paribas Open,2009,0,Hard,4,BNP Paribas Open_2009
Djokovic N.,Masters 1000,Sony Ericsson Open,2009,0,Hard,3,Sony Ericsson Open_2009
Serra F.,ATP250,Grand Prix Hassan II,2009,0,Clay,47,Grand Prix Hassan II_2009
Odesnik W.,ATP250,U.S. Men's Clay Court Championships,2009,0,Clay,100,U.S. Men's Clay Court Championships_2009
Djokovic N.,Masters 1000,Monte Carlo Masters,2009,0,Clay,3,Monte Carlo Masters_2009
Ferrer D.,ATP500,Open Banco Sabadell ,2009,0,Clay,13,Open Banco Sabadell _2009
Djokovic N.,Masters 1000,Internazionali BNL d'Italia,2009,0,Clay,3,Internazionali BNL d'Italia_2009
Kubot L.,ATP250,Serbia Open,2009,0,Clay,179,Serbia Open_2009
Blake J.,ATP250,Estoril Open,2009,0,Clay,16,Estoril Open_2009
Youzhny M.,ATP250,BMW Open,2009,0,Clay,64,BMW Open_2009
Nadal R.,Masters 1000,Mutua Madrileña Madrid Open,2009,0,Clay,1,Mutua Madrileña Madrid Open_2009
Benneteau J.,ATP250,Austrian Open,2009,0,Clay,45,Austrian Open_2009
Soderling R.,Grand Slam,French Open,2009,0,Clay,25,French Open_2009
Djokovic N.,ATP250,Gerry Weber Open,2009,0,Grass,4,Gerry Weber Open_2009
Blake J.,ATP250,AEGON Championships,2009,0,Grass,16,AEGON Championships_2009
Dancevic F.,ATP250,AEGON International,2009,0,Grass,126,AEGON International_2009
Sluiter R.,ATP250,Ordina Open,2009,0,Grass,866,Ordina Open_2009
Roddick A.,Grand Slam,Wimbledon,2009,0,Grass,6,Wimbledon_2009
Ram R.,ATP250,Hall of Fame Championships,2009,0,Grass,181,Hall of Fame Championships_2009
Monaco J.,ATP250,Catella Swedish Open,2009,0,Clay,61,Catella Swedish Open_2009
Hanescu V.,ATP250,Mercedes Cup,2009,0,Clay,33,Mercedes Cup_2009
Mathieu P.H.,ATP500,International German Open,2009,0,Clay,39,International German Open_2009
Querrey S.,ATP250,Indianapolis Tennis Championships,2009,0,Hard,37,Indianapolis Tennis Championships_2009
Beck A.,ATP250,Allianz Suisse Open,2009,0,Clay,51,Allianz Suisse Open_2009
Ball C.,ATP250,LA Tennis Open,2009,0,Hard,205,LA Tennis Open_2009
Ferrero J.C.,ATP250,Studena Croatia Open,2009,0,Clay,36,Studena Croatia Open_2009
